,edge,edge_text
546,((has/Mv.|f--3s-/en warned/P.sor.<pf----/en) (+/B.mm/. (of/Br.ma/en (the/Md/en council/Cp.s/en) europe/Cp.s/en) ('s/Bp.am/en (the/Md/en continent/Cc.s/en) (main/Ma/en (+/B.am/. (human/Ma/en rights/Cc.p/en) watchdog/Cc.s/en)))) spain/Cp.s/en ((could/Mm/en have/P.so.-i-----/en) (its/Mp/en (+/B.am/. austerity/Cc.s/en programme/Cc.s/en)) (on/Br.ma/en (a/Md/en (devastating/Ma/en impact/Cc.s/en)) children/Cc.p/en))),"The Council of Europe, the continent's main human rights watchdog, has warned Spain its austerity programme could have a devastating impact on children"
547,((has/Mv.|f--3s-/en warned/P.sor.<pf----/en) (+/B.mm/. (the/Md/en (+/B.am/. european/Cp.s/en (+/B.am/. banking/Cp.s/en authority/Cp.s/en))) eba/Cp.s/en) people/Cc.p/en (that/T/en (are/P.s?.|f-----/en those/Cd/en (use/P.so.|f-----/en who/Cw/en bitcoins/Cc.p/en)))),The European Banking Authority (EBA) has warned people that those who use Bitcoins are
548,((has/Mv.|f--3s-/en warned/P.sor.<pf----/en) (the/Md/en (+/B.am/. european/Cp.s/en union/Cp.s/en)) thailand/Cp.s/en (that/T/en ((is/Mv.|f--3s-/en (still/M/en (not/Mn/en doing/P.sox.|pg----/en))) it/Ci/en enough/C/en ((out/Ml/en (to/Mi/en stamp/Pd.o.-i-----/en)) (illegal/Ma/en (+/B.am/. fishing/Cc.s/en practices/Cc.p/en)))))),The European Union has warned Thailand that it is still not doing enough to stamp out illegal fishing practices
549,((has/Mv.|f--3s-/en warned/P.sor.<pf----/en) turkey/Cp.s/en (and/J/en (the/Md/en (+/B.am/. united/Cp.s/en states/Cp.s/en)) russia/Cp.s/en) ((will/Mm/en (not/Mn/en tolerate/P.so.-i-----/en)) it/Ci/en (by/Br.ma/en (kurdish/Ma/en (territorial/Ma/en gains/Cc.p/en)) ((close/Ma/en to/Br.ma/en) (kurdish/Ma/en militia/Cc.s/en) (in/Br.ma/en (its/Mp/en frontiers/Cc.p/en) ((north/Ma/en western/Ma/en) syria/Cp.s/en)))))),Turkey has warned the United States and Russia it will not tolerate Kurdish territorial gains by Kurdish militia close to its frontiers in north-western Syria
550,((has/Mv.|f--3s-/en warned/Pd.?sor.<pf----/en) liberman/Cp.s/en (+/B.am/. trump/Cp.s/en administration/Cc.s/en) us/Ci/en ((not/Mn/en (to/Mi/en annex/P.o.-i-----/en)) (+/B.am/. west/Cp.s/en bank/Cp.s/en))),Liberman: Trump administration has warned us not to annex West Bank
551,((has/Mv.|f--3s-/en warned/Pd.os.<pf----/en) what/Cw/en (a/Md/en (+/B.am/. (+/B.am/. press/Cc.s/en freedom/Cc.s/en) group/Cc.s/en))),what a press freedom group has warned
552,((has/Mv.|f--3s-/en warned/Pd.rso.<pf----/en) ((will/Mm/en face/P.sox.-i-----/en) britain/Cp.s/en (severe/Ma/en (+/B.am/. ((diplomatic/Ma/en and/Mj/en) economic/Ca/en) punishment/Cc.s/en)) (in/T/en (to/Br.ma/en response/Cc.s/en (of/Br.ma/en (the/Md/en (pointless/Ma/en posturing/Cc.s/en)) (toward/Br.ma/en (its/Mp/en (foreign/Ma/en policy/Cc.s/en)) china/Cp.s/en))))) beijing/Cp.s/en (the/Md/en government/Cp.s/en)),"Britain will face severe diplomatic and economic punishment in response to the “pointless” posturing of its foreign policy toward China, Beijing has warned the Government"
553,((has/Mv.|f--3s-/en warned/Pd.rsor.<pf----/en) (hears/P.so.|f--3s-/en judge/Cp.s/en (over/Br.ma/en arguments/Cc.p/en (+/B.am/. (and/J/en citibank/Cm/en argentina/Cp.s/en) bonds/Cc.p/en))) (a/Md/en (+/B.am/. citibank/Cp.s/en lawyer/Cc.s/en)) (a/Md/en judge/Cc.s/en) ((will/Mm/en be/P.sxx.-i-----/en) (its/Mp/en (+/B.am/. argentina/Cp.s/en branch/Cc.s/en)) (in/T/en (great/Ma/en danger/Cc.s/en)) (if/T/en (refuses/Pd.sr.|f--3s-/en he/Ci/en ((to/Mi/en let/P.r.-i-----/en) (pay/P.sox.|f-----/en (the/Md/en ((south/Ma/en american/Ma/en) nation/Cc.s/en)) interest/Cc.s/en (to/T/en bondholders/Cc.p/en))))))),"Judge hears arguments over Citibank and Argentina bonds: A Citibank lawyer has warned a judge its Argentina branch will be in great danger"" if he refuses to let the South American nation pay interest to bondholders"
554,((has/Mv.|f--3s-/en warned/Pd.rsor.<pf----/en) (take/P.so.|f-----/en (and/J/en eu/Cp.s/en us/Cp.s/en) (on/Br.ma/en (different/Ma/en lines/Cc.p/en) (+/B.am/. turkey/Cp.s/en crackdown/Cc.s/en))) (the/Md/en eu/Cp.s/en) turkey/Cp.s/en (that/T/en (is/P.sc.|f--3s-/en (its/Mp/en (post/Ma/en (-/Ma/en (coup/Ma/en crackdown/Cc.s/en)))) unacceptable/Ca/en))),EU and US take different lines on Turkey crackdown: The EU has warned Turkey that its post-coup crackdown is “unacceptable
555,((has/Mv.|f--3s-/en warned/Pd.so.<pf----/en) ('s/Bp.am/en russia/Cp.s/en (foreign/Ma/en ministry/Cc.s/en)) (its/Mp/en citizens/Cc.p/en)),Russia's foreign ministry has warned its citizens
556,((has/Mv.|f--3s-/en warned/Pd.so.<pf----/en) ('s/Bp.am/en ukraine/Cp.s/en (+/B.am/. justice/Cc.s/en minister/Cc.s/en)) (anti/Ma/en (-/Ma/en (government/Ma/en protesters/Cc.p/en)))),Ukraine's justice minister has warned anti-government protesters
557,"((has/Mv.|f--3s-/en warned/Pd.so.<pf----/en) (+/B.am/. (nigerian/Ma/en president/Cp.s/en) (+/B.am/. goodluck/Cp.s/en jonathan/Cp.s/en)) (of/Br.ma/en heads/Cc.p/en (,/J/en ministries/Cc.p/en (and/J/en departments/Cc.p/en agencies/Cc.p/en))))","Nigerian President Goodluck Jonathan has warned heads of ministries, departments and agencies"
558,((has/Mv.|f--3s-/en warned/Pd.so.<pf----/en) (+/B.am/. pope/Cp.s/en francis/Cp.s/en) (+/B.am/. world/Cc.s/en leaders/Cc.p/en)),Pope Francis has warned world leaders
559,((has/Mv.|f--3s-/en warned/Pd.so.<pf----/en) (+/B.am/. president/Cp.s/en (+/B.am/. vladimir/Cp.s/en putin/Cp.s/en)) (’s/Bp.am/en russia/Cp.s/en (scientific/Ma/en community/Cc.s/en))),President Vladimir Putin has warned Russia’s scientific community
560,((has/Mv.|f--3s-/en warned/Pd.so.<pf----/en) (+/B.am/. tokyo/Cp.s/en (+/B.am/. electric/Cp.s/en (+/B.am/. power/Cp.s/en co%2e/Cp.s/en))) (its/Mp/en (stricken/Mv.<pf----/en fukushima/Cp.s/en))),Tokyo Electric Power Co. has warned its stricken Fukushima
561,((has/Mv.|f--3s-/en warned/Pd.so.<pf----/en) (a/Md/en (top/Ma/en (german/Ma/en (+/B.am/. police/Cc.s/en official/Cc.s/en)))) (of/Br.ma/en (+/B.am/. government/Cc.s/en officials/Cc.p/en) ((ahead/M/en of/Br.ma/en) (in/Br.ma/en (a/Md/en (possible/Ma/en (+/B.am/. terror/Cc.s/en attack/Cc.s/en))) germany/Cp.s/en) ((final/Ma/en on/Br.ma/en) (the/Md/en (+/B.am/. champions/Cp.s/en league/Cp.s/en)) (+/B.am/. saturday/Cp.s/en evening/Cc.s/en))))),A top German police official has warned government officials of a possible terror attack in Germany ahead the Champions League final on Saturday evening
562,((has/Mv.|f--3s-/en warned/Pd.so.<pf----/en) (of/Br.ma/en (the/Md/en (+/B.am/. (+/B.am/. air/Cc.s/en force/Cc.s/en) commander/Cc.s/en)) ('s/Bp.am/en libya/Cp.s/en ((internationally/M/en recognised/Mv.<pf----/en) government/Cc.s/en))) (european/Ma/en countries/Cc.p/en)),The air force commander of Libya's internationally recognised government has warned European countries
563,((has/Mv.|f--3s-/en warned/Pd.so.<pf----/en) (of/Br.ma/en (the/Md/en (+/B.am/. (+/B.am/. air/Cc.s/en force/Cc.s/en) commander/Cc.s/en)) ('s/Bp.am/en libya/Cp.s/en ((internationally/M/en recognized/Mv.<pf----/en) government/Cc.s/en))) (european/Ma/en countries/Cc.p/en)),The air force commander of Libya's internationally recognized government has warned European countries
564,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) ('s/Bp.am/en iran/Cp.s/en (foreign/Ma/en minister/Cc.s/en)) (the/Md/en (+/B.am/. united/Cp.s/en states/Cp.s/en)) (that/T/en ((would/Mm/en (likely/M/en herald/P.s?.-i-----/en)) failure/Cc.s/en ((to/Mi/en agree/P.o.-i-----/en) (a/Md/en (nuclear/Ma/en deal/Cc.s/en)))))),Iran's foreign minister has warned the United States that failure to agree a nuclear deal would likely herald
565,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) ('s/Bp.am/en kenya/Cp.s/en president/Cc.s/en) ('s/Bp.am/en (the/Md/en country/Cc.s/en) judiciary/Cc.s/en) ((not/Mn/en (to/Mi/en help/P.r.-i-----/en)) (throw/P.sox.-i-----/en (the/Md/en opposition/Cc.s/en) (the/Md/en (next/Ma/en election/Cc.s/en)) (into/T/en disarray/Cc.s/en)))),Kenya's president has warned the country's judiciary not to help the opposition throw the next election into disarray
566,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) ('s/Bp.am/en malaysia/Cp.s/en government/Cc.s/en) (from/Br.ma/en immigrants/Cc.p/en (neighboring/Mv.|pg----/en myanmar/Cp.s/en)) ((not/Mn/en (to/Mi/en restart/P.o?.-i-----/en)) (sectarian/Ma/en clashes/Cc.p/en) ((recently/M/en killed/P.so.<f-----/en) that/C/en (four/M#/en people/Cc.p/en)))),Malaysia's government has warned immigrants from neighboring Myanmar not to restart sectarian clashes that recently killed four people
567,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.am/. ((south/Ma/en korean/Ma/en) president/Cp.s/en) (+/B.am/. park/Cp.s/en (+/B.am/. geun/Cp.s/en hye/Cp.s/en))) japan/Cp.s/en ((will/Mm/en (only/M/en bring/P.soxx.-i-----/en)) it/Ci/en isolation/Cc.s/en (on/T/en itself/Ci/en) (if/T/en (reviews/Pd.so.|f--3s-/en it/Ci/en (a/Md/en statement/Cc.s/en))))),South Korean President Park Geun-hye has warned Japan it will only bring isolation on itself if it reviews a statement
568,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.am/. (leading/Mv.|pg----/en (+/B.am/. privacy/Cc.s/en expert/Cc.s/en)) (+/B.am/. caspar/Cp.s/en bowden/Cp.s/en)) europeans/Cp.p/en (using/P.or.|pg----/en (+/B.am/. us/Cp.s/en (+/B.am/. cloud/Cc.s/en services/Cc.p/en)) ((that/Mw/en on/T/en) ((could/Mm/en (be/Mv.-i-----/en snooped/P.p.<pf----/en)) (their/Mp/en data/Cc.p/en))))),Leading privacy expert Caspar Bowden has warned Europeans using US cloud services that their data could be snooped on
569,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.am/. (philippine/Ma/en president/Cp.s/en) (+/B.am/. rodrigo/Cp.s/en duterte/Cp.s/en)) (+/B.am/. president/Cp.s/en (+/B.am/. barack/Cp.s/en obama/Cp.s/en)) ((not/Mn/en (to/Mi/en question/P.ox.-i-----/en)) him/Ci/en (about/T/en (or/J/en (extrajudicial/Ma/en killings/Cc.p/en) (of/Br.ma/en son/Cc.s/en (a/Md/en bitch/Cc.s/en)))))),"Philippine President Rodrigo Duterte has warned President Barack Obama not to question him about extrajudicial killings, or ""son of a bitch"
570,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.am/. north/Cp.s/en korea/Cp.s/en) (and/J/en (+/B.am/. united/Cp.s/en states/Cp.s/en) (+/B.am/. south/Cp.s/en korea/Cp.s/en)) ((to/Mi/en cancel/P.ox.-i-----/en) (annual/Ma/en (military/Ma/en drills/Cc.p/en)) (predicting/Pd.ox.|pg----/en (unimaginable/Ma/en calamities/Cc.p/en) (if/T/en ((ahead/M/en go/Pd.s.|f-----/en) they/Ci/en))))),"North Korea has warned United States and South Korea to cancel annual military drills, predicting unimaginable calamities if they go ahead"
571,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.am/. pope/Cp.s/en francis/Cp.s/en) (of/Br.ma/en (the/Md/en powerful/Ca/en) (the/Md/en earth/Cp.s/en)) ((will/Mm/en answer/P.sxx.-i-----/en) they/Ci/en (to/T/en god/Cp.s/en) (if/T/en (fail/Pd.sr.|f-----/en they/Ci/en ((to/Mi/en protect/P.ox.-i-----/en) (the/Md/en environment/Cc.s/en) ((to/Mi/en ensure/Pd.r.-i-----/en) ((can/Mm/en feed/P.so.-i-----/en) (the/Md/en world/Cc.s/en) (its/Mp/en population/Cc.s/en)))))))),Pope Francis has warned “the powerful of the Earth” they will answer to God if they fail to protect the environment to ensure the world can feed its population
572,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.am/. south/Cp.s/en korea/Cp.s/en) (the/Md/en north/Cp.s/en) (ahead/T/en ((will/Mm/en pay/P.sox.-i-----/en) it/Ci/en (a/Md/en (harsh/Ma/en price/Cc.s/en)) (if/T/en (goes/Pd.s.|f--3s-/en it/Ci/en))))),"South Korea has warned the North it will ""pay a harsh price"" if it goes ahead"
573,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.mm/. (the/Md/en (+/B.am/. eu/Cm/en (+/B.am/. (foreign/Ma/en policy/Cc.s/en) chief/Cc.s/en))) (+/B.am/. federica/Cp.s/en mogherini/Cp.s/en)) (the/Md/en (+/B.am/. trump/Cp.s/en administration/Cc.s/en)) ((not/Mn/en (to/Mi/en interfere/P.xx.-i-----/en)) (in/T/en (european/Ma/en politics/Cc.p/en)) (advising/Pd.or.|pg----/en it/Ci/en ((first/M/en (to/Mi/en deal/P.x.-i-----/en)) (with/T/en america/Cp.s/en))))),"The EU foreign policy chief, Federica Mogherini, has warned the Trump administration not to interfere in European politics, advising it to deal with America first"
574,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.mm/. (the/Md/en (german/Ma/en military/Cc.s/en)) bundeswehr/Cp.s/en) (its/Mp/en soldiers/Cc.p/en) ((and/J/en to/T/en (+/B/. from/C/en (in/Br/en (their/Mp/en stations/Cc.p/en) (the/Md/en (+/B/. hamburg/Cp.s/en area/Cc.s/en))))) ((when/M/en traveling/Pd.r.|pg----/en) ((not/Mn/en (to/Mi/en wear/P.o.-i-----/en)) (their/Mp/en uniforms/Cc.p/en))))),The German military (Bundeswehr) has warned its soldiers not to wear their uniforms when traveling to and from their stations in the Hamburg area
575,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.mm/. (’s/Bp.am/en ecuador/Cp.s/en (+/B.am/. president/Cc.s/en elect/Cp.s/en)) (+/B.am/. lenín/Cp.s/en moreno/Cp.s/en)) (+/B.am/. julian/Cp.s/en assange/Cp.s/en) ((not/Mn/en (to/Mi/en meddle/P.xx.-i-----/en)) (in/T/en (’s/Bp.am/en (the/Md/en country/Cc.s/en) politics/Cc.p/en)) (after/T/en (taunted/Pd.sox.<f-----/en (the/Md/en (+/B.am/. wikileaks/Cp.s/en founder/Cc.s/en)) (a/Md/en (rival/Ma/en candidate/Cc.s/en)) (following/Tv.|pg----/en (his/Mp/en loss/Cc.s/en)))))),"Ecuador’s president-elect, Lenín Moreno, has warned Julian Assange not to meddle in the country’s politics after the WikiLeaks founder taunted a rival candidate following his loss"
576,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (+/B.mm/. (’s/Bp.am/en indonesia/Cp.s/en (+/B.am/. president/Cc.s/en elect/Cp.s/en)) (+/B.am/. joko/Cp.s/en widodo/Cp.s/en)) australia/Cp.s/en ((not/Mn/en (to/Mi/en let/P.rx.-i-----/en)) ((again/M/en enter/P.so.-i-----/en) (its/Mp/en navy/Cc.s/en) (indonesian/Ma/en waters/Cc.p/en)) (without/T/en permission/Cc.s/en))),"Indonesia’s president-elect, Joko Widodo, has warned Australia not to let its navy enter Indonesian waters again without permission"
577,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (a/Md/en (militant/Ma/en (islamist/Ma/en group/Cc.s/en))) tourists/Cc.p/en ((to/Mi/en leave/P.o.-i-----/en) egypt/Cp.s/en)),A militant Islamist group has warned tourists to leave Egypt
578,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (in/Br.ma/en (the/Md/en (+/B.am/. us/Cp.s/en consulate/Cc.s/en)) melbourne/Cp.s/en) citizens/Cc.p/en (that/T/en (is/P.sc.|f--3s-/en (in/Br.ma/en (a/Md/en (terrorist/Ma/en attack/Cc.s/en)) australia/Cp.s/en) (highly/M/en likely/Ca/en)))),THE US consulate in Melbourne has warned citizens that a terrorist attack in Australia is highly likely
579,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (palestinian/Ma/en president/Cc.s/en) palestinians/Cp.p/en ((not/Mn/en (to/Mi/en fall/P.x.-i-----/en)) (into/T/en (of/Jr.ma/en (the/Md/en trap/Cc.s/en) (militarising/P.x.|pg----/en (of/Br.ma/en (the/Md/en (current/Ma/en escalation/Cc.s/en)) violence/Cc.s/en)))))),Palestinian president has warned Palestinians not to fall into the trap of of “militarising” the current escalation violence
580,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (the/Md/en (+/B.am/. european/Cp.s/en commission/Cp.s/en)) russia/Cp.s/en (that/T/en (is/P.scr.|f--3s-/en it/Ci/en unacceptable/Ca/en ((to/Mi/en use/P.o.-i-----/en) (+/B.mm/. threats/Cc.p/en (against/Jr.ma/en (ex/Ma/en (-/Ma/en (soviet/Ma/en states/Cc.p/en))) ((are/Mv.|f-----/en seeking/P.so.|pg----/en) which/C/en (with/Br.ma/en (closer/Mc/en ties/Cc.p/en) (the/Md/en eu/Cp.s/en))))))))),"The European Commission has warned Russia that it is unacceptable"" to use threats against ex-Soviet states which are seeking closer ties with the EU"
581,"((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (the/Md/en (+/B.am/. european/Cp.s/en union/Cp.s/en)) thailand/Cp.s/en (that/T/en (risks/P.sox.|f--3s-/en (the/Md/en country/Cc.s/en) (,/J/en sanctions/Cc.p/en (including/Pd.o.|pg----/en (an/Md/en (+/B.am/. import/Cc.s/en ban/Cc.s/en)))) (if/T/en (fails/Pd.sr.|f--3s-/en it/Ci/en ((to/Mi/en put/P.ox.-i-----/en) (a/Md/en halt/Cc.s/en) (to/T/en (illegal/Ma/en fishing/Cc.s/en))))))))","The European Union has warned Thailand that the country risks sanctions, including an import ban, if it fails to put a halt to illegal fishing"
582,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (the/Md/en (+/B.am/. u%2es%2e/Cp.s/en government/Cc.s/en)) haiti/Cp.s/en (that/T/en (risks/P.srx.|f--3s-/en it/Ci/en (losing/P.o.|pg----/en aid/Cc.s/en) (if/T/en ((does/Mv.|f--3s-/en (n't/Mn/en hold/Pd.so.-i-----/en)) it/Ci/en elections/Cc.p/en))))),The U.S. government has warned Haiti that it risks losing aid if it doesn't hold elections
583,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (the/Md/en (+/B.am/. united/Cp.s/en states/Cp.s/en)) china/Cp.s/en ((will/Mm/en blacklist/P.so.-i-----/en) it/Ci/en (and/J/en (chinese/Ma/en companies/Cc.p/en) banks/Cc.p/en))),The United States has warned China it will blacklist Chinese companies and banks
584,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) (’s/Bp.am/en pakistan/Cp.s/en military/Cc.s/en) (’s/Bp.am/en (+/B.am/. donald/Cp.s/en trump/Cp.s/en) (new/Ma/en generals/Cc.p/en)) (that/T/en (face/P.sox.|f-----/en they/Ci/en (in/Br.ma/en (a/Md/en (total/Ma/en mess/Cc.s/en)) afghanistan/Cp.s/en) (unless/T/en ((can/Mm/en halt/Pd.so.-i-----/en) (and/J/en (the/Md/en us/Cp.s/en) uk/Cp.s/en) (of/Br.ma/en (the/Md/en advance/Cc.s/en) (and/J/en is/Cp.s/en (the/Md/en taliban/Cp.s/en)))))))),Pakistan’s military has warned Donald Trump’s new generals that they face a total mess’ in Afghanistan unless the US and UK can halt the advance of IS and the Taliban
585,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) afghanistan/Cp.s/en pakistan/Cp.s/en (that/Tt/en ((will/Mm/en bear/P.sox.-i-----/en) it/Ci/en (of/Br.ma/en (the/Md/en consequences/Cc.p/en) (on/Br.ma/en (more/Mc/en clashes/Cc.p/en) (their/Mp/en (contested/Mv.<pf----/en border/Cc.s/en)))) (erupted/Pd.?sx.<f-----/en (after/Tt/en hours/Cc.p/en) (of/Br.ma/en (a/Md/en (new/Ma/en bout/Cc.s/en)) fighting/Cc.s/en) (between/T/en (the/Md/en neighbors/Cc.p/en)))))),"Afghanistan has warned Pakistan that it will bear the consequences of more clashes on their contested border, hours after a new bout of fighting erupted between the neighbors"
586,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) germany/Cp.s/en serbia/Cp.s/en (that/T/en (hang/P.sxx.|f-----/en (its/Mp/en (+/B.am/. eu/Cp.s/en (+/B.am/. accession/Cc.s/en prospects/Cc.p/en))) (on/T/en (a/Md/en result/Cc.s/en)) (in/T/en (on/Br.ma/en (the/Md/en (ongoing/Ma/en negotiations/Cc.p/en)) kosovo/Cp.s/en))))),Germany has warned Serbia that its EU accession prospects hang on a result in the ongoing negotiations on Kosovo
587,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) he/Ci/en temer/Cp.s/en (that/T/en ((alone/M/en (will/Mm/en (not/Mn/en go/P.xs.-i-----/en))) (if/T/en (goes/Pd.sx.|f--3s-/en he/Ci/en (to/T/en prison/Cc.s/en))) he/Ci/en))),"he has warned Temer that if he goes to prison, he will not go alone"
588,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) russia/Cp.s/en (+/B.am/. north/Cp.s/en korea/Cp.s/en) (that/T/en ((could/Mm/en create/P.s?.-i-----/en) threats/Cc.p/en ((to/Mi/en deliver/P.o.-i-----/en) (preventive/Ma/en (nuclear/Ma/en strikes/Cc.p/en)))))),Russia has warned North Korea that threats to deliver “preventive nuclear strikes” could create
589,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) serbia/Cp.s/en (+/B.am/. neighboring/C/en croatia/Cp.s/en) (or/J/en ((to/M/en open/P.?o.-i-----/en) either/C/en (its/Mp/en border/Cc.s/en)) (face/P!.ox.-i-----/en retaliation/Cc.s/en (after/T/en (halted/Pd.sox.<f-----/en croats/Cc.p/en (all/Md/en (+/B.am/. cargo/Cc.s/en traffic/Cc.s/en)) (from/T/en serbia/Cp.s/en)))))),Serbia has warned neighboring Croatia to either open its border or face retaliation after Croats halted all cargo traffic from Serbia
590,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) turkey/Cp.s/en (the/Md/en (+/B.am/. european/Cp.s/en union/Cp.s/en)) (that/Tt/en ((could/Mm/en flee/P.sox.-i-----/en) (((3/M#/en million/M#/en) more/Mc/en) refugees/Cc.p/en) (in/Br.ma/en fighting/Cc.s/en syria/Cp.s/en) (as/Tt/en (struggles/Pd.sr.|f--3s-/en (the/Md/en eu/Cp.s/en) ((to/Mi/en manage/P.ox.-i-----/en) (its/Mp/en (biggest/Ms/en (+/B.am/. migration/Cc.s/en emergency/Cc.s/en))) (in/Tt/en decades/Cc.p/en))))))),Turkey has warned the European Union that 3 million more refugees could flee fighting in Syria as the EU struggles to manage its biggest migration emergency in decades
591,((has/Mv.|f--3s-/en warned/Pd.sox.<pf----/en) he/Ci/en (the/Md/en (international/Ma/en community/Cc.s/en)) (against/T/en (launching/P.ox.|pg----/en (in/Br.ma/en (another/Md/en (military/Ma/en intervention/Cc.s/en)) iraq/Cp.s/en) ((to/Mi/en counter/Pd.o?.-i-----/en) (militant/Ma/en islamists/Cp.p/en) ((have/Mv.|f-----/en overrun/P.so.<pf----/en) who/Cw/en (of/Br.ma/en (large/Ma/en parts/Cc.p/en) (the/Md/en country/Cc.s/en))))))),He has warned the international community against launching another military intervention in Iraq to counter militant Islamists who have overrun large parts of the country
592,((has/Mv.|f--3s-/en warned/Pd.soxx.<pf----/en) (+/B.am/. (+/B.am/. (+/B.am/. pakistan/Cp.s/en (+/B.am/. peoples/Cp.p/en party/Cp.s/en)) chairman/Cc.s/en) (+/B.am/. bilawal/Cp.s/en (+/B.am/. bhutto/Cp.s/en zardari/Cp.s/en))) (the/Md/en (+/B.am/. trump/Cp.s/en administration/Cp.s/en)) (against/T/en (including/P.ox.|pg----/en (his/Mp/en country/Cc.s/en) (in/T/en (of/Br.ma/en (the/Md/en list/Cc.s/en) (+/B.am/. (+/B.am/. travel/Cc.s/en ban/Cc.s/en) nations/Cc.p/en))))) (saying/Pd.r.|pg----/en ((will/Mm/en create/P.so.-i-----/en) (such/M/en (a/Md/en move/Cc.s/en)) (between/Br.ma/en (of/Br.ma/en (a/Md/en host/Cc.s/en) hostilities/Cc.p/en) (the/Md/en (two/M#/en countries/Cc.p/en)))))),"Pakistan Peoples Party chairman Bilawal Bhutto Zardari has warned the Trump Administration against including his country in the list of travel ban nations, saying such a move will create a host of hostilities” between the two countries"
593,((has/Mv.|f--3s-/en warned/Pd.soxx.<pf----/en) (to/Br.ma/en ('s/Bp.am/en china/Cp.s/en (top/Ma/en envoy/Cc.s/en)) germany/Cp.s/en) (the/Md/en west/Cp.s/en) (against/T/en (punishing/P.ox.|pg----/en russia/Cp.s/en (with/T/en (for/Br.ma/en sanctions/Cc.p/en (in/Br.ma/en (its/Mp/en intervention/Cc.s/en) ukraine/Cp.s/en))))) (saying/Pd.r?.|pg----/en ((could/Mm/en lead/P.sx.-i-----/en) (such/Ma/en measures/Cc.p/en) (to/T/en (a/Md/en (dangerous/Ma/en (+/B.am/. chain/Cc.s/en reaction/Cc.s/en))))) ((to/Mi/en control/P.?.-i-----/en) ((would/Mm/en be/P.sc.-i-----/en) that/C/en difficult/Ca/en)))),"China's top envoy to Germany has warned the West against punishing Russia with sanctions for its intervention in Ukraine, saying such measures could lead to a dangerous chain reaction that would be difficult to control"
594,((has/Mv.|f--3s-/en warned/Pd.ssor.<pf----/en) ('s/Bp.am/en germany/Cp.s/en vice/Cc.s/en) (+/B.ma/. -/Cc.s/en chancellor/Cc.s/en) (of/Br.ma/en (the/Md/en future/Cc.s/en) (the/Md/en eu/Cp.s/en)) ((could/Mm/en be/P.xx.-i-----/en) (in/T/en doubt/Cc.s/en) (if/T/en ((badly/M/en (is/Mv.|f--3s-/en handled/Pd.p.<pf----/en)) ('s/Bp.am/en (the/Md/en uk/Cp.s/en) exit/Cc.s/en))))),Germany's vice-chancellor has warned the future of the EU could be in doubt if the UK's exit is handled badly
595,((has/Mv.|f--3s-/en warned/Pd.ssor.<pf----/en) (but/J/en (+/B.mm/. all/C/en (the/Md/en toys/Cp.p/en)) ((can/Mm/en fight/P?.s.-i-----/en) china/Cp.s/en)) ('s/Bp.am/en china/Cp.s/en (+/B.am/. xi/Cp.s/en jinping/Cp.s/en)) (his/Mp/en ((corruption/M/en riddled/Mv.<pf----/en) military/Cc.s/en)) (and/J/en ((up/Ml/en (to/Mi/en clean/P.o.-i-----/en)) (its/Mp/en act/Cc.s/en)) (be/Pd.c.-i-----/en (for/Br.ma/en ready/Ca/en battle/Cc.s/en)))),"All The Toys, But Can China Fight?: ""China 's Xi Jinping has warned his corruption-riddled military to clean up its act and be ready for battle"
